taxi_id,trip_start_timestamp,trip_end_timestamp,prev_break
1be1407efca4ff6ac787c8794df57e8eeac031eaf08fca2009330a2b1079205b6322f2b28d73126dd895708469166c33da4c2c160f126ef927db401dd3500757,2019-05-01 17:00:00 UTC,2019-05-01 17:15:00 UTC,30
1be1407efca4ff6ac787c8794df57e8eeac031eaf08fca2009330a2b1079205b6322f2b28d73126dd895708469166c33da4c2c160f126ef927db401dd3500757,2019-05-01 17:30:00 UTC,2019-05-01 17:30:00 UTC,15
1be1407efca4ff6ac787c8794df57e8eeac031eaf08fca2009330a2b1079205b6322f2b28d73126dd895708469166c33da4c2c160f126ef927db401dd3500757,2019-05-01 17:45:00 UTC,2019-05-01 17:45:00 UTC,15
1be1407efca4ff6ac787c8794df57e8eeac031eaf08fca2009330a2b1079205b6322f2b28d73126dd895708469166c33da4c2c160f126ef927db401dd3500757,2019-05-01 18:00:00 UTC,2019-05-01 18:00:00 UTC,15
1be1407efca4ff6ac787c8794df57e8eeac031eaf08fca2009330a2b1079205b6322f2b28d73126dd895708469166c33da4c2c160f126ef927db401dd3500757,2019-05-01 18:30:00 UTC,2019-05-01 18:30:00 UTC,30
1be1407efca4ff6ac787c8794df57e8eeac031eaf08fca2009330a2b1079205b6322f2b28d73126dd895708469166c33da4c2c160f126ef927db401dd3500757,2019-05-01 18:45:00 UTC,2019-05-01 19:00:00 UTC,15
1be1407efca4ff6ac787c8794df57e8eeac031eaf08fca2009330a2b1079205b6322f2b28d73126dd895708469166c33da4c2c160f126ef927db401dd3500757,2019-05-01 19:15:00 UTC,2019-05-01 19:15:00 UTC,15
1be1407efca4ff6ac787c8794df57e8eeac031eaf08fca2009330a2b1079205b6322f2b28d73126dd895708469166c33da4c2c160f126ef927db401dd3500757,2019-05-01 19:30:00 UTC,2019-05-01 20:00:00 UTC,15
1be1407efca4ff6ac787c8794df57e8eeac031eaf08fca2009330a2b1079205b6322f2b28d73126dd895708469166c33da4c2c160f126ef927db401dd3500757,2019-05-01 20:15:00 UTC,2019-05-01 20:15:00 UTC,15
1be1407efca4ff6ac787c8794df57e8eeac031eaf08fca2009330a2b1079205b6322f2b28d73126dd895708469166c33da4c2c160f126ef927db401dd3500757,2019-05-01 20:30:00 UTC,2019-05-01 20:45:00 UTC,15
1be1407efca4ff6ac787c8794df57e8eeac031eaf08fca2009330a2b1079205b6322f2b28d73126dd895708469166c33da4c2c160f126ef927db401dd3500757,2019-05-01 21:30:00 UTC,2019-05-01 21:45:00 UTC,45
1be1407efca4ff6ac787c8794df57e8eeac031eaf08fca2009330a2b1079205b6322f2b28d73126dd895708469166c33da4c2c160f126ef927db401dd3500757,2019-05-01 23:30:00 UTC,2019-05-01 23:45:00 UTC,105
1bff274ed006935422e0042a5b4ba149e8ea9d59666cd647324d89a22338e334de8dfe2724ee6ab986c8c6d5fcf3a277586d322b0b8aa9de771590730c4c168e,2019-05-01 12:30:00 UTC,2019-05-01 13:00:00 UTC,
1bff274ed006935422e0042a5b4ba149e8ea9d59666cd647324d89a22338e334de8dfe2724ee6ab986c8c6d5fcf3a277586d322b0b8aa9de771590730c4c168e,2019-05-01 13:30:00 UTC,2019-05-01 13:30:00 UTC,30
1bff274ed006935422e0042a5b4ba149e8ea9d59666cd647324d89a22338e334de8dfe2724ee6ab986c8c6d5fcf3a277586d322b0b8aa9de771590730c4c168e,2019-05-01 13:45:00 UTC,2019-05-01 14:00:00 UTC,15
1bff274ed006935422e0042a5b4ba149e8ea9d59666cd647324d89a22338e334de8dfe2724ee6ab986c8c6d5fcf3a277586d322b0b8aa9de771590730c4c168e,2019-05-01 13:45:00 UTC,2019-05-01 13:45:00 UTC,-15
1bff274ed006935422e0042a5b4ba149e8ea9d59666cd647324d89a22338e334de8dfe2724ee6ab986c8c6d5fcf3a277586d322b0b8aa9de771590730c4c168e,2019-05-01 14:00:00 UTC,2019-05-01 14:15:00 UTC,15
1bff274ed006935422e0042a5b4ba149e8ea9d59666cd647324d89a22338e334de8dfe2724ee6ab986c8c6d5fcf3a277586d322b0b8aa9de771590730c4c168e,2019-05-01 14:15:00 UTC,2019-05-01 14:30:00 UTC,0
1bff274ed006935422e0042a5b4ba149e8ea9d59666cd647324d89a22338e334de8dfe2724ee6ab986c8c6d5fcf3a277586d322b0b8aa9de771590730c4c168e,2019-05-01 14:45:00 UTC,2019-05-01 14:45:00 UTC,15
