trip_date,avg_num_trips
23-05-2017,75615.48387
24-05-2017,75762.22581
25-05-2017,75871.19355
26-05-2017,75538.80645
27-05-2017,75244.64516
28-05-2017,75235.29032
29-05-2017,75910.80645
30-05-2017,77051.64516
31-05-2017,77664.93548
01-06-2017,77845.51613
02-06-2017,77404.83871
03-06-2017,76309.70968
04-06-2017,75414.90323
05-06-2017,75471.64516
06-06-2017,75764.32258
07-06-2017,75826.77419
08-06-2017,75797.70968
09-06-2017,75373.29032
10-06-2017,74699.54839
11-06-2017,74448.70968
12-06-2017,74859.41935
13-06-2017,75718.45161
14-06-2017,77158.90323
15-06-2017,77121.6129
16-06-2017,77123.77419
17-06-2017,76365.41935
18-06-2017,74878.64516
19-06-2017,73603.16129
20-06-2017,72981.19355
21-06-2017,72373.96774
22-06-2017,72103.32258
23-06-2017,71555.09677
24-06-2017,70604.67742
25-06-2017,69898.48387
26-06-2017,69523.29032
27-06-2017,69509.51613
28-06-2017,69294.77419
29-06-2017,69220.12903
30-06-2017,68647.03226
01-07-2017,67658.09677
02-07-2017,67078.93548
03-07-2017,67192.3871
04-07-2017,67937.77419
05-07-2017,68217.6129
06-07-2017,68516.83871
07-07-2017,68140.77419
08-07-2017,67277.64516
09-07-2017,66691.45161
10-07-2017,66716.80645
11-07-2017,67249.58065
12-07-2017,67603.80645
13-07-2017,67797.35484
14-07-2017,67295.32258
15-07-2017,66258.70968
16-07-2017,66267.70968
17-07-2017,66345.3871
18-07-2017,66961.22581
19-07-2017,68060.29032
20-07-2017,69491.09677
21-07-2017,69901.03226
22-07-2017,69665.67742
23-07-2017,69297.77419
24-07-2017,69389.32258
25-07-2017,69896.83871
26-07-2017,70201.16129
27-07-2017,70362.74194
28-07-2017,70027.54839
29-07-2017,69143.32258
30-07-2017,68448.96774
31-07-2017,68393.45161
01-08-2017,69017.80645
02-08-2017,69593.54839
03-08-2017,69992.48387
04-08-2017,69737.54839
05-08-2017,68861.48387
06-08-2017,67916.35484
07-08-2017,67715.80645
08-08-2017,68022.03226
09-08-2017,68194.29032
10-08-2017,68204.41935
11-08-2017,67690.06452
12-08-2017,66719.74194
13-08-2017,66188.74194
14-08-2017,66254.54839
15-08-2017,66751.54839
16-08-2017,67092.29032
17-08-2017,66910.6129
18-08-2017,66218.80645
19-08-2017,65076.09677
20-08-2017,63335.6129
21-08-2017,62876.74194
22-08-2017,63112.77419
23-08-2017,63485.3871
24-08-2017,63924.3871
25-08-2017,63620.90323
26-08-2017,62996.83871
27-08-2017,62744.09677
28-08-2017,62979.93548
29-08-2017,63871.35484
30-08-2017,64511.51613
31-08-2017,64999.32258
01-09-2017,64662.35484
02-09-2017,63711.41935
03-09-2017,63133.51613
04-09-2017,63163.96774
05-09-2017,63685.09677
06-09-2017,64127.80645
07-09-2017,64645
08-09-2017,64496.32258
09-09-2017,63922.64516
10-09-2017,63656.67742
11-09-2017,64054.25806
12-09-2017,64938.22581
13-09-2017,65514.35484
14-09-2017,65918.29032
15-09-2017,65135.03226
16-09-2017,64525.45161
17-09-2017,64588.48387
18-09-2017,65243.83871
19-09-2017,66114.83871
20-09-2017,67459.19355
21-09-2017,68286.87097
22-09-2017,68225.32258
23-09-2017,67673
24-09-2017,67327.87097
25-09-2017,68011.03226
26-09-2017,68856.3871
27-09-2017,69217.3871
28-09-2017,69381.09677
29-09-2017,68929.74194
30-09-2017,67924.64516
01-10-2017,67408.03226
02-10-2017,67782.06452
03-10-2017,68710
04-10-2017,69454.29032
05-10-2017,69877
06-10-2017,69606.16129
07-10-2017,69130.90323
08-10-2017,68843.67742
09-10-2017,69362.51613
10-10-2017,70015.96774
11-10-2017,70399.80645
12-10-2017,70664.64516
13-10-2017,70058.64516
14-10-2017,69157.3871
15-10-2017,68569.35484
16-10-2017,69070.87097
17-10-2017,69941.41935
18-10-2017,70367.6129
19-10-2017,70544.74194
20-10-2017,70101.03226
21-10-2017,69382.22581
22-10-2017,69001.74194
23-10-2017,69346.58065
24-10-2017,70047.35484
25-10-2017,70608.51613
26-10-2017,70529.74194
27-10-2017,69811.29032
28-10-2017,68935.87097
29-10-2017,68375.90323
30-10-2017,68544.87097
31-10-2017,69446.35484
01-11-2017,69782.67742
02-11-2017,69972.67742
03-11-2017,69184.22581
04-11-2017,67865.54839
05-11-2017,66892.25806
06-11-2017,66778.87097
07-11-2017,66532.67742
08-11-2017,65137.16129
09-11-2017,63787.25806
10-11-2017,62944.32258
11-11-2017,61987.90323
12-11-2017,61493.77419
13-11-2017,61945.58065
14-11-2017,62739.48387
15-11-2017,63336.93548
16-11-2017,64082.48387
17-11-2017,63504.25806
18-11-2017,62491.19355
19-11-2017,61776.3871
20-11-2017,62049.64516
21-11-2017,62692
22-11-2017,63143.16129
23-11-2017,63521.90323
24-11-2017,63114.87097
25-11-2017,61850.3871
26-11-2017,61262.67742
27-11-2017,61593.96774
28-11-2017,62236.90323
29-11-2017,62845.09677
30-11-2017,63204.93548
01-12-2017,62506.6129
02-12-2017,61310.80645
03-12-2017,60494.22581
04-12-2017,60651.96774
05-12-2017,61352.25806
06-12-2017,61826.25806
07-12-2017,61862.67742
08-12-2017,61642.06452
09-12-2017,61706.74194
10-12-2017,61011.74194
11-12-2017,60591.77419
12-12-2017,60611.74194
13-12-2017,60096.58065
14-12-2017,59514.80645
15-12-2017,58538.6129
16-12-2017,57015.48387
17-12-2017,56297.33333
18-12-2017,56213.7931
19-12-2017,56546.35714
20-12-2017,56480.55556
21-12-2017,55941.88462
22-12-2017,55277.6
23-12-2017,54117.25
24-12-2017,52778.34783
25-12-2017,52297.13636
26-12-2017,52655.19048
27-12-2017,52315.65
28-12-2017,51408.84211
29-12-2017,50307.38889
30-12-2017,48558.64706
31-12-2017,46487.875
